height,weight,bmi,cat,age,vegNonveg,gender,activity,calorie_intake,food
181,77,23,normal,20,0,1,1.37,2474,"Breakfast: Peanut Butter Protein Oats, ; Lunch: Simple Caprese Sandwich, ; Dinner: Broccoli & Feta Pasta Salad"
179,66,20,normal,26,1,1,1.37,2265,"Breakfast: Cranberry-Banana Oatmeal, ; Lunch: Chicken Celery Sticks, ; Dinner: Grilled turkey sandwich"
145,44,20,normal,20,0,1,1.2,1501,"Breakfast: Peanut Butter Protein Oats, ; Lunch: Chocolate Peanut Butter Protein Shake, ; Dinner: White Bean and Kale Soup"
187,90,25,normal,57,1,1,1.55,2772,"Breakfast: Strawberry Protein Shake, ; Lunch: Tuna and Ranch Garden Salad, ; Dinner: Shredded Chicken White Nachos"
181,68,20,normal,44,1,1,1.37,2186,"Breakfast: Oats with Rice Milk and Banana, ; Lunch: Tuna and Ranch Garden Salad, ; Dinner: BBQ Chicken Sandwich"
187,74,21,normal,59,0,1,1.2,1942,"Breakfast: Cottage Cheese with Fruit and Granola, ; Lunch: Simple Caprese Sandwich, ; Dinner: Pasta with Baby Broccoli and Beans"
193,75,20,normal,21,1,1,1.37,2543,"Breakfast: Banana oatmeal smoothie, ; Lunch: Tuna and Ranch Garden Salad, ; Dinner: BBQ Chicken Sandwich"
162,58,22,normal,20,0,1,1.55,2321,"Breakfast: Spinach, Pepper, and Tomato Scramble on Toast, ; Lunch: Simple Caprese Sandwich, ; Dinner: Pasta with Creamy Spinach and Mushroom Sauce"
170,64,22,normal,35,0,1,1.37,2099,"Breakfast: Bagel with Cream Cheese, ; Lunch: Fruit salad, ; Dinner: Pasta with Baby Broccoli and Beans"
193,93,24,normal,48,1,1,1.2,2281,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: Pinto Bean salad, ; Dinner: Greek Style Ravioli"
161,53,20,normal,42,0,1,1.37,1823,"Breakfast: Strawberry Oatmeal, ; Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches, ; Dinner: Grilled Cheese with Tomato, Peppers and Basil"
142,43,21,normal,21,1,1,1.55,1887,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: King Crab Salad, ; Dinner: Spicy Chicken soup"
153,48,20,normal,26,1,1,1.37,1796,"Breakfast: Oatmeal banana protein shake, ; Lunch: Turkey, Cheddar, and Mustard Sandwich, ; Dinner: BLT sandwich"
190,82,22,normal,34,0,1,1.37,2524,"Breakfast: Peanut Butter Banana Oatmeal Shake, ; Lunch: Lemon Avocado Salad, ; Dinner: One-Pot Spaghetti with Fresh Tomato Sauce"
144,51,24,normal,56,1,1,1.55,1759,"Breakfast: Chocolate peanut protein shake, ; Lunch: King Crab Salad, ; Dinner:Spicy Chicken soup"
163,64,24,normal,26,1,1,1.55,2377,"Breakfast: Banana oatmeal smoothie, ; Lunch: Tuna and Ranch Garden Salad Sandwich, ; Dinner: Basic Chicken Quesadilla"
169,66,23,normal,33,0,0,1.2,1668,"Breakfast: Oatmeal and raisins, ; Lunch:Hummus and Veggie Sandwich, ; Dinner:Grilled Cheese with Tomato, Peppers and Basil"
164,60,22,normal,60,1,0,1.55,1804,"Breakfast: Vanilla Banana Protein Shake, ; Lunch: Chicken Celery Sticks, ; Dinner: Low Fat Bean and Cheese Burrito"
194,79,20,normal,51,1,0,1.37,2173,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: Maple Strawberries and Cream, ; Dinner: Tomato Mozzarella Tuna Melt"
181,73,22,normal,16,0,0,1.2,1944,"Breakfast: Fruit and Granola Yogurt, ; Lunch: Fruit salad, ; Dinner: Pasta with Baby Broccoli and Beans"
156,58,23,normal,16,1,0,1.37,1800,"Breakfast: Vegetable 3 Egg Scramble, ; Lunch: Cucumber Turkey Sandwich with Gournay, ; Dinner: Low Fat Bean and Cheese Burrito"
159,61,24,normal,16,1,0,1.2,1635,"Breakfast: High Protein Energy Balls, ; Lunch: Corn Tuna Salad, ; Dinner: Easy Microwave Sausage, Kale, and White Beans"
195,84,22,normal,20,1,0,1.37,2462,"Breakfast: Strawberry Oatmeal, ; Lunch: Cucumber, Tomato, Chicken, and Cheese Sandwich, ; Dinner: BLT sandwich"
193,95,25,normal,41,0,0,1.2,2148,"Breakfast: Oatmeal and raisins, ; Lunch: Tomato and Hummus Pocket Sandwich, ; Dinner: ; Dinner Pita Pizza"
163,58,21,normal,18,1,0,1.55,2089,"Breakfast: Chicken and Cottage Cheese Sandwich, ; Lunch: Cucumber Turkey Sandwich with Gournay, ; Dinner: BBQ Chicken Sandwich"
196,79,20,normal,46,1,0,1.55,2517,"Breakfast: Orange-Vanilla Protein Smoothie, ; Lunch: Tuna and Ranch Garden Salad, ; Dinner: Tomato Mozzarella Tuna Melt"
158,58,23,normal,33,0,0,1.55,1924,"Breakfast: Bagel with Cream Cheese, ; Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches, ; Dinner: Pasta Caprice"
179,76,23,normal,30,1,0,1.2,1881,"Breakfast: Oatmeal banana protein shake, ; Lunch: Chicken Celery Sticks, ; Dinner: Pasta with Red Sauce and Mozzarella"
169,56,19,normal,27,0,0,1.55,2046,"Breakfast: Bagel with Cream Cheese, ; Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches, ; Dinner: Mama's Best Broiled Tomato Sandwich"
173,60,20,normal,32,1,0,1.2,1632,"Breakfast: Strawberries and Cream Smoothie, ; Lunch: Corn Tuna Salad, ; Dinner: Veggie & chicken salad"
160,50,19,normal,46,1,0,1.37,1519,"Breakfast: Pecans, ; Lunch: Cottage Cheese with Spicy Tuna, ; Dinner: BLT sandwich"
200,103,25,normal,34,1,0,1.2,2338,"Breakfast: Cranberry-Banana Oatmeal, ; Lunch: Paleo Avocado Chicken Salad, ; Dinner:Spicy Chicken Salad"
155,53,22,normal,38,0,0,1.37,1572,"Breakfast: Strawberry Yogurt and Strawberries, ; Lunch: Southwestern Salad with Black Beans, ; Dinner: Grilled Cheese with Tomato, Peppers and Basil"
143,54,26,normal,45,0,0,1.2,1257,"Breakfast: Oatmeal and peaches, ; Lunch: Simple Caprese Sandwich, ; Dinner: Pasta with Red Sauce and Mozzarella, Steamed Broccoli"
196,79,20,normal,16,0,0,1.55,2749,"Breakfast: Mexican Pepper and Cheese Breakfast Quesadilla, ; Lunch: Simple Caprese Sandwich, Almonds, ; Dinner: ; Dinner Pita Pizza"
158,54,21,normal,54,0,0,1.2,1315,"Breakfast: Peanut Butter Protein Oats, Oranges, ; Lunch: Bell Pepper and Hummus Snack, Avacado, ; Dinner: Pasta with Marinara Sauce, Steamed Broccoli with Olive Oil and Parmesan"
188,93,26,normal,47,1,0,1.2,2050,"Breakfast: Oatmeal banana protein shake, ; Lunch: Peanut Butter & Carrots, Grapes, ; Dinner:Almond Butter Chicken Salad Lettuce Wrap"
168,60,21,normal,55,1,0,1.37,1663,"Breakfast: Oatmeal banana protein shake, ; Lunch: Barbecue tuna sandwich, Almonds, ; Dinner:Chicken Kabobs"
163,61,22,normal,32,0,0,1.55,2027,"Breakfast: Mango Trifle, Cheese On Toast, ; Lunch: Lemon Avocado Salad, ; Dinner: Pasta with Red Sauce and Mozzarella, Steamed Broccoli"
154,61,25,normal,46,0,0,1.2,1417,"Breakfast: Oatmeal and Apples, ; Lunch:Caprese Salad, ; Dinner: Mozzarella and Hummus on MultiGrain Flatbread, Zucchini Spears"
182,82,24,normal,42,1,0,1.55,2459,"Breakfast: Protein Smoothie Bowl, ; Lunch: Mexican Black Bean and Chicken Stew with Rice, ; Dinner:Paprika Chicken with Salad"
164,60,22,normal,45,0,0,1.37,1697,"Breakfast: Banana & Almond Butter Toast, ; Lunch: Peanut Butter and Honey Sandwich on Rye, Carrots with Hummus, ; Dinner:Mozzarella and Hummus on MultiGrain Flatbread, Steamed Broccoli with Olive Oil and Parmesan"
173,78,26,normal,35,0,0,1.2,1830,"Breakfast: Strawberry Oatmeal, ; Lunch: Peanut Butter and Honey Sandwich on Rye, Yogurt & Strawberries, ; Dinner:Pasta with Red Sauce and Mozzarella, Steamed Broccoli with Olive Oil and Parmesan"
164,63,23,normal,37,1,0,1.55,2028,"Breakfast: Chicken and Cottage Cheese Sandwich, ; Lunch: Peach Protein Smoothie, ; Dinner: BLT sandwich, Easy Hard-Boiled Eggs"
194,87,23,normal,50,0,0,1.37,2289,"Breakfast: Bagel with Cream Cheese, ; Lunch: Tomato and Cheese Wrap,Carrots with Hummus, ; Dinner: Gourmet Grilled Cheese, Roasted asparagus"
190,86,23,normal,33,0,0,1.55,2668,"Breakfast: Breakfast Oatmeal with Milk and Blueberries, Whole wheat toast, ; Lunch: Simple Caprese Sandwich, Banana, ; Dinner:Greek Pasta with Tomatoes and White Beans"
169,58,20,normal,30,1,0,1.2,1590,"Breakfast: Oatmeal banana protein shake, ; Lunch: Apples and Almond Butter, Yogurt & Strawberries, ; Dinner: Microwave Parmesan Lemon Chicken and Brussels Sprouts"
194,85,22,normal,47,0,0,1.37,2283,"Breakfast: Peanut Butter and Honey Oatmeal, ; Lunch: Tomato and Cheese Wrap, ; Dinner: Pasta Caprice, Microwaved sweet potato"
179,87,27,normal,16,1,0,1.2,2097,"Breakfast: Chicken and Cottage Cheese Sandwich, ; Lunch:Apricot Jam and Almond Butter Sandwich, ; Dinner:Almond Butter Chicken Salad Lettuce Wrap"
145,42,19,normal,51,1,0,1.37,1247,"Breakfast: Tropical protein smoothie, ; Lunch: Chicken Celery Sticks, ; Dinner: Spicy Chicken Salad"
173,58,19,normal,39,1,0,1.37,1788,"Breakfast: Chicken and Cottage Cheese Sandwich, ; Lunch: Turkey, Cheddar, and Mustard Sandwich, ; Dinner: BBQ Chicken Sandwich, Easy Hard-Boiled Eggs"
181,83,25,normal,22,1,0,1.2,2028,"Breakfast: Chicken and Cottage Cheese Sandwich, ; Lunch: Barbecue tuna sandwich, Almonds, ; Dinner:Gourmet Grilled Cheese"
140,48,24,normal,40,1,0,1.37,1361,"Breakfast: Spinach, Swiss, and Egg White Omelet, Whole Wheat Toast, ; Lunch:Spanish-style Toast with Tomato (Pan con tomate), ; Dinner: Mozzarella and Hummus on MultiGrain Flatbread, Easy Hard-Boiled Eggs"
